t [s]               T [K]               Xfront [mm]         sdot [mm/s]         dodt [kg/m^2s]      dcodt [kg/m^2s]     dco2dt [kg/m^2s]    dcdt [kg/m^2s]      dc2dt [kg/m^2s]     dc3dt [kg/m^2s]     
0                   800                 0                   0                   0                   0                   0                   0                   0                   0                   
0.005               814.871             1.53983e-07         3.07967e-05         0.000182786         0.000110024         2.75399e-05         1.48477e-37         2.08804e-42         1.37292e-39         
0.01                826.849             3.08838e-07         3.09709e-05         0.000183431         0.000112595         2.46336e-05         6.7831e-37          1.19601e-41         7.15049e-39         
0.015               836.964             4.65841e-07         3.14007e-05         0.000183201         0.000115754         2.24677e-05         2.36534e-36         5.02307e-41         2.77712e-38         
0.02                845.809             6.25683e-07         3.19684e-05         0.000182477         0.000119189         2.07636e-05         6.87954e-36         1.71268e-40         8.85635e-38         
0.025               853.74              7.88772e-07         3.26178e-05         0.000181447         0.000122766         1.937e-05           1.7585e-35          5.03444e-40         2.45469e-37         
0.03                860.984             9.5537e-07          3.33196e-05         0.000180213         0.000126419         1.81974e-05         4.08181e-35         1.32471e-39         6.12703e-37         
0.035               867.693             1.12566e-06         3.4057e-05          0.000178834         0.000130114         1.71896e-05         8.79109e-35         3.19837e-39         1.40987e-36         
0.04                873.97              1.29975e-06         3.48196e-05         0.000177349         0.000133832         1.63093e-05         1.78305e-34         7.20755e-39         3.03942e-36         
0.045               879.89              1.47776e-06         3.56007e-05         0.000175784         0.000137563         1.55301e-05         3.44224e-34         1.53466e-38         6.21024e-36         
0.05                885.511             1.65973e-06         3.63957e-05         0.000174156         0.0001413           1.48334e-05         6.37541e-34         3.11561e-38         1.213e-35           
0.055               890.876             1.84574e-06         3.72015e-05         0.000172477         0.000145037         1.42049e-05         1.13969e-33         6.07289e-38         2.27981e-35         
0.06                896.016             2.03582e-06         3.80158e-05         0.000170758         0.000148773         1.36338e-05         1.97573e-33         1.14268e-37         4.14429e-35         
0.065               900.961             2.23e-06            3.88367e-05         0.000169005         0.000152505         1.31117e-05         3.33405e-33         2.08458e-37         7.31635e-35         
0.07                905.732             2.42832e-06         3.9663e-05          0.000167224         0.000156232         1.26319e-05         5.49357e-33         3.70003e-37         1.25858e-34         
0.075               910.346             2.63079e-06         4.04936e-05         0.000165419         0.000159955         1.21888e-05         8.86085e-33         6.40845e-37         2.11548e-34         
0.08                914.82              2.83743e-06         4.13279e-05         0.000163594         0.000163671         1.1778e-05          1.40203e-32         1.08572e-36         3.4824e-34          
0.085               919.166             3.04825e-06         4.21651e-05         0.000161752         0.000167382         1.13957e-05         2.18012e-32         1.80303e-36         5.62519e-34         
0.09                923.395             3.26328e-06         4.30048e-05         0.000159894         0.000171087         1.10388e-05         3.33667e-32         2.94015e-36         8.93123e-34         
0.095               927.517             3.48251e-06         4.38466e-05         0.000158023         0.000174786         1.07046e-05         5.03305e-32         4.71501e-36         1.39581e-33         
0.1                 931.54              3.70596e-06         4.46901e-05         0.000156141         0.000178479         1.03909e-05         7.49096e-32         7.4459e-36          2.14994e-33         
0.105               935.471             3.93364e-06         4.55352e-05         0.000154248         0.000182167         1.00956e-05         1.10121e-31         1.15925e-35         3.26731e-33         
0.11                939.317             4.16554e-06         4.63815e-05         0.000152347         0.00018585          9.81713e-06         1.60036e-31         1.7812e-35          4.90387e-33         
0.115               943.083             4.40169e-06         4.7229e-05          0.000150437         0.000189527         9.5539e-06          2.30103e-31         2.70342e-35         7.27521e-33         
0.12                946.775             4.64208e-06         4.80775e-05         0.000148519         0.0001932           9.30464e-06         3.27561e-31         4.05634e-35         1.06768e-32         
0.125               950.398             4.88671e-06         4.89268e-05         0.000146595         0.000196868         9.0682e-06          4.61959e-31         6.02131e-35         1.55107e-32         
0.13                953.954             5.13559e-06         4.97769e-05         0.000144665         0.000200531         8.84355e-06         6.45807e-31         8.84847e-35         2.23191e-32         
0.135               957.449             5.38873e-06         5.06276e-05         0.000142729         0.000204191         8.62979e-06         8.95392e-31         1.28802e-34         3.18293e-32         
0.14                960.885             5.64613e-06         5.1479e-05          0.000140789         0.000207847         8.42608e-06         1.2318e-30          1.85819e-34         4.5009e-32          
0.145               964.266             5.90778e-06         5.2331e-05          0.000138843         0.000211499         8.23172e-06         1.68215e-30         2.65815e-34         6.31387e-32         
0.15                967.594             6.1737e-06          5.31834e-05         0.000136893         0.000215148         8.04602e-06         2.28119e-30         3.77214e-34         8.79023e-32         
0.155               970.873             6.44388e-06         5.40364e-05         0.000134939         0.000218794         7.86841e-06         3.07313e-30         5.31243e-34         1.21502e-31         
0.16                974.103             6.71833e-06         5.48898e-05         0.000132981         0.000222436         7.69834e-06         4.11404e-30         7.42777e-34         1.66799e-31         
0.165               977.289             6.99705e-06         5.57437e-05         0.000131019         0.000226077         7.53532e-06         5.47463e-30         1.03142e-33         2.275e-31           
0.17                980.431             7.28004e-06         5.6598e-05          0.000129054         0.000229714         7.3789e-06          7.24372e-30         1.42286e-33         3.08372e-31         
0.175               983.531             7.5673e-06          5.74526e-05         0.000127086         0.00023335          7.22868e-06         9.53237e-30         1.95062e-33         4.15525e-31         
0.18                986.592             7.85884e-06         5.83077e-05         0.000125115         0.000236983         7.08428e-06         1.24789e-29         2.65815e-33         5.56752e-31         
0.185               989.615             8.15466e-06         5.91631e-05         0.000123141         0.000240614         6.94535e-06         1.6255e-29          3.60164e-33         7.41947e-31         
0.19                992.602             8.45475e-06         6.00189e-05         0.000121165         0.000244244         6.81159e-06         2.10728e-29         4.85329e-33         9.83627e-31         
0.195               995.553             8.75913e-06         6.08751e-05         0.000119185         0.000247872         6.6827e-06          2.71937e-29         6.50558e-33         1.29755e-30         
0.2                 998.47              9.06778e-06         6.17316e-05         0.000117203         0.000251498         6.55841e-06         3.49383e-29         8.6764e-33          1.70351e-30         
0.205               1001.36             9.38073e-06         6.25885e-05         0.000115219         0.000255123         6.43848e-06         4.46991e-29         1.15155e-32         2.22622e-30         
0.21                1004.21             9.69796e-06         6.34457e-05         0.000113232         0.000258748         6.32267e-06         5.69544e-29         1.52123e-32         2.89648e-30         
0.215               1007.03             1.00195e-05         6.43033e-05         0.000111243         0.000262371         6.21076e-06         7.2286e-29          2.00056e-32         3.75254e-30         
0.22                1009.83             1.03453e-05         6.51613e-05         0.000109252         0.000265993         6.10257e-06         9.13988e-29         2.61952e-32         4.8417e-30          
0.225               1012.59             1.06754e-05         6.60196e-05         0.000107259         0.000269614         5.9979e-06          1.15145e-28         3.41567e-32         6.2223e-30          
0.23                1015.33             1.10098e-05         6.68783e-05         0.000105263         0.000273235         5.89659e-06         1.44551e-28         4.43583e-32         7.96609e-30         
0.235               1018.04             1.13485e-05         6.77374e-05         0.000103266         0.000276856         5.79846e-06         1.80851e-28         5.73822e-32         1.0161e-29          
0.24                1020.73             1.16914e-05         6.85968e-05         0.000101266         0.000280476         5.70338e-06         2.25525e-28         7.39506e-32         1.29145e-29         
0.245               1023.39             1.20387e-05         6.94567e-05         9.92651e-05         0.000284096         5.61119e-06         2.80342e-28         9.49554e-32         1.63576e-29         
0.25                1026.03             1.23903e-05         7.03169e-05         9.72618e-05         0.000287715         5.52177e-06         3.47412e-28         1.21496e-31         2.06495e-29         
0.255               1028.65             1.27462e-05         7.11774e-05         9.52566e-05         0.000291335         5.43499e-06         4.29248e-28         1.54924e-31         2.59833e-29         
0.26                1031.24             1.31064e-05         7.20384e-05         9.32496e-05         0.000294954         5.35074e-06         5.28831e-28         1.96894e-31         3.25923e-29         
0.265               1033.81             1.34709e-05         7.28998e-05         9.12408e-05         0.000298574         5.26891e-06         6.49693e-28         2.49431e-31         4.07582e-29         
0.27                1036.36             1.38397e-05         7.37615e-05         8.92302e-05         0.000302193         5.18938e-06         7.96011e-28         3.14999e-31         5.08197e-29         
0.275               1038.89             1.42128e-05         7.46237e-05         8.72179e-05         0.000305813         5.11207e-06         9.7271e-28          3.966e-31           6.31836e-29         
