ns                  t [s]               T [K]               y_c10h160           y_n2                y_o2                y_ar                
593                 0.000593            380.139             0.0754234           0.72117             0.194161            0.00924577          
594                 0.000594            380.177             0.0755197           0.721095            0.194141            0.0092448           
595                 0.000595            380.216             0.0756158           0.72102             0.194121            0.00924384          
596                 0.000596            380.254             0.0757118           0.720945            0.194101            0.00924288          
597                 0.000597            380.292             0.0758077           0.72087             0.19408             0.00924192          
598                 0.000598            380.331             0.0759033           0.720795            0.19406             0.00924097          
599                 0.000599            380.369             0.0759989           0.720721            0.19404             0.00924001          
600                 0.0006              380.407             0.0760942           0.720647            0.19402             0.00923906          
601                 0.000601            380.445             0.0761894           0.720572            0.194               0.00923811          
602                 0.000602            380.482             0.0762845           0.720498            0.19398             0.00923716          
603                 0.000603            380.52              0.0763793           0.720424            0.19396             0.00923621          
604                 0.000604            380.558             0.0764741           0.72035             0.19394             0.00923526          
605                 0.000605            380.595             0.0765686           0.720276            0.193921            0.00923431          
606                 0.000606            380.633             0.076663            0.720203            0.193901            0.00923337          
607                 0.000607            380.67              0.0767573           0.720129            0.193881            0.00923243          
608                 0.000608            380.707             0.0768514           0.720056            0.193861            0.00923149          
609                 0.000609            380.745             0.0769453           0.719983            0.193841            0.00923055          
610                 0.00061             380.782             0.0770391           0.719909            0.193822            0.00922961          
611                 0.000611            380.819             0.0771327           0.719836            0.193802            0.00922867          
612                 0.000612            380.856             0.0772262           0.719764            0.193782            0.00922774          
613                 0.000613            380.892             0.0773195           0.719691            0.193763            0.0092268           
614                 0.000614            380.929             0.0774127           0.719618            0.193743            0.00922587          
615                 0.000615            380.966             0.0775057           0.719546            0.193724            0.00922494          
616                 0.000616            381.002             0.0775985           0.719473            0.193704            0.00922402          
617                 0.000617            381.039             0.0776912           0.719401            0.193685            0.00922309          
618                 0.000618            381.075             0.0777837           0.719329            0.193665            0.00922216          
619                 0.000619            381.111             0.0778761           0.719257            0.193646            0.00922124          
620                 0.00062             381.148             0.0779683           0.719185            0.193627            0.00922032          
621                 0.000621            381.184             0.0780604           0.719113            0.193607            0.0092194           
622                 0.000622            381.22              0.0781523           0.719041            0.193588            0.00921848          
623                 0.000623            381.256             0.078244            0.71897             0.193569            0.00921756          
624                 0.000624            381.292             0.0783356           0.718898            0.19355             0.00921664          
625                 0.000625            381.327             0.0784271           0.718827            0.19353             0.00921573          
626                 0.000626            381.363             0.0785184           0.718756            0.193511            0.00921482          
627                 0.000627            381.399             0.0786095           0.718685            0.193492            0.0092139           
628                 0.000628            381.434             0.0787005           0.718614            0.193473            0.00921299          
629                 0.000629            381.469             0.0787913           0.718543            0.193454            0.00921209          
630                 0.00063             381.505             0.078882            0.718472            0.193435            0.00921118          
631                 0.000631            381.54              0.0789726           0.718401            0.193416            0.00921027          
632                 0.000632            381.575             0.0790629           0.718331            0.193397            0.00920937          
633                 0.000633            381.61              0.0791532           0.718261            0.193378            0.00920847          
634                 0.000634            381.645             0.0792432           0.71819             0.193359            0.00920757          
635                 0.000635            381.68              0.0793331           0.71812             0.19334             0.00920667          
636                 0.000636            381.715             0.0794229           0.71805             0.193321            0.00920577          
637                 0.000637            381.75              0.0795125           0.71798             0.193302            0.00920487          
638                 0.000638            381.784             0.079602            0.71791             0.193284            0.00920398          
639                 0.000639            381.819             0.0796913           0.717841            0.193265            0.00920309          
640                 0.00064             381.853             0.0797805           0.717771            0.193246            0.0092022           
641                 0.000641            381.888             0.0798695           0.717702            0.193227            0.00920131          
642                 0.000642            381.922             0.0799583           0.717632            0.193209            0.00920042          
643                 0.000643            381.956             0.0800471           0.717563            0.19319             0.00919953          
644                 0.000644            381.99              0.0801356           0.717494            0.193172            0.00919864          
645                 0.000645            382.024             0.080224            0.717425            0.193153            0.00919776          
646                 0.000646            382.058             0.0803123           0.717356            0.193134            0.00919688          
647                 0.000647            382.092             0.0804004           0.717288            0.193116            0.009196            
648                 0.000648            382.126             0.0804884           0.717219            0.193097            0.00919512          
649                 0.000649            382.16              0.0805762           0.717151            0.193079            0.00919424          
650                 0.00065             382.194             0.0806639           0.717082            0.193061            0.00919336          
651                 0.000651            382.227             0.0807514           0.717014            0.193042            0.00919249          
652                 0.000652            382.261             0.0808388           0.716946            0.193024            0.00919161          
653                 0.000653            382.294             0.080926            0.716878            0.193006            0.00919074          
654                 0.000654            382.327             0.081013            0.71681             0.192987            0.00918987          
655                 0.000655            382.361             0.0811              0.716742            0.192969            0.009189            
656                 0.000656            382.394             0.0811868           0.716674            0.192951            0.00918813          
657                 0.000657            382.427             0.0812734           0.716607            0.192933            0.00918727          
658                 0.000658            382.46              0.0813599           0.716539            0.192914            0.0091864           
659                 0.000659            382.493             0.0814462           0.716472            0.192896            0.00918554          
660                 0.00066             382.526             0.0815324           0.716405            0.192878            0.00918468          
661                 0.000661            382.559             0.0816185           0.716338            0.19286             0.00918382          
662                 0.000662            382.591             0.0817044           0.716271            0.192842            0.00918296          
663                 0.000663            382.624             0.0817901           0.716204            0.192824            0.0091821           
664                 0.000664            382.656             0.0818757           0.716137            0.192806            0.00918124          
665                 0.000665            382.689             0.0819612           0.71607             0.192788            0.00918039          
666                 0.000666            382.721             0.0820465           0.716004            0.19277             0.00917953          
667                 0.000667            382.754             0.0821317           0.715937            0.192752            0.00917868          
668                 0.000668            382.786             0.0822167           0.715871            0.192734            0.00917783          
669                 0.000669            382.818             0.0823016           0.715805            0.192717            0.00917698          
670                 0.00067             382.85              0.0823863           0.715739            0.192699            0.00917614          
671                 0.000671            382.882             0.0824709           0.715673            0.192681            0.00917529          
672                 0.000672            382.914             0.0825554           0.715607            0.192663            0.00917445          
673                 0.000673            382.946             0.0826397           0.715541            0.192646            0.0091736           
674                 0.000674            382.978             0.0827239           0.715475            0.192628            0.00917276          
675                 0.000675            383.01              0.0828079           0.71541             0.19261             0.00917192          
676                 0.000676            383.041             0.0828918           0.715344            0.192593            0.00917108          
677                 0.000677            383.073             0.0829755           0.715279            0.192575            0.00917024          
678                 0.000678            383.104             0.0830591           0.715214            0.192558            0.00916941          
679                 0.000679            383.136             0.0831426           0.715149            0.19254             0.00916857          
680                 0.00068             383.167             0.0832259           0.715084            0.192523            0.00916774          
681                 0.000681            383.198             0.0833091           0.715019            0.192505            0.00916691          
682                 0.000682            383.23              0.0833921           0.714954            0.192488            0.00916608          
683                 0.000683            383.261             0.083475            0.71489             0.19247             0.00916525          
684                 0.000684            383.292             0.0835577           0.714825            0.192453            0.00916442          
685                 0.000685            383.323             0.0836403           0.714761            0.192436            0.0091636           
686                 0.000686            383.354             0.0837228           0.714696            0.192418            0.00916277          
687                 0.000687            383.385             0.0838051           0.714632            0.192401            0.00916195          
688                 0.000688            383.415             0.0838873           0.714568            0.192384            0.00916113          
689                 0.000689            383.446             0.0839694           0.714504            0.192366            0.00916031          
690                 0.00069             383.477             0.0840513           0.71444             0.192349            0.00915949          
691                 0.000691            383.507             0.084133            0.714376            0.192332            0.00915867          
692                 0.000692            383.538             0.0842147           0.714313            0.192315            0.00915785          
693                 0.000693            383.568             0.0842962           0.714249            0.192298            0.00915704          
694                 0.000694            383.599             0.0843775           0.714186            0.192281            0.00915622          
695                 0.000695            383.629             0.0844587           0.714122            0.192264            0.00915541          
696                 0.000696            383.659             0.0845398           0.714059            0.192247            0.0091546           
697                 0.000697            383.689             0.0846207           0.713996            0.19223             0.00915379          
698                 0.000698            383.719             0.0847015           0.713933            0.192213            0.00915298          
699                 0.000699            383.749             0.0847822           0.71387             0.192196            0.00915218          
700                 0.0007              383.779             0.0848627           0.713807            0.192179            0.00915137          
701                 0.000701            383.809             0.0849431           0.713744            0.192162            0.00915057          
702                 0.000702            383.839             0.0850234           0.713682            0.192145            0.00914977          
703                 0.000703            383.869             0.0851035           0.713619            0.192128            0.00914897          
704                 0.000704            383.898             0.0851835           0.713557            0.192111            0.00914817          
705                 0.000705            383.928             0.0852633           0.713495            0.192095            0.00914737          
706                 0.000706            383.957             0.085343            0.713432            0.192078            0.00914657          
707                 0.000707            383.987             0.0854226           0.71337             0.192061            0.00914577          
708                 0.000708            384.016             0.085502            0.713308            0.192045            0.00914498          
709                 0.000709            384.046             0.0855813           0.713247            0.192028            0.00914419          
710                 0.00071             384.075             0.0856605           0.713185            0.192011            0.0091434           
711                 0.000711            384.104             0.0857395           0.713123            0.191995            0.00914261          
712                 0.000712            384.133             0.0858184           0.713062            0.191978            0.00914182          
713                 0.000713            384.162             0.0858972           0.713               0.191962            0.00914103          
714                 0.000714            384.191             0.0859758           0.712939            0.191945            0.00914024          
715                 0.000715            384.22              0.0860543           0.712878            0.191929            0.00913946          
716                 0.000716            384.249             0.0861326           0.712817            0.191912            0.00913867          
717                 0.000717            384.278             0.0862109           0.712756            0.191896            0.00913789          
718                 0.000718            384.306             0.086289            0.712695            0.191879            0.00913711          
719                 0.000719            384.335             0.0863663           0.712634            0.191863            0.00913634          
720                 0.00072             384.364             0.0864441           0.712574            0.191847            0.00913556          
721                 0.000721            384.392             0.0865217           0.712513            0.19183             0.00913478          
722                 0.000722            384.421             0.0865993           0.712453            0.191814            0.00913401          
723                 0.000723            384.449             0.0866767           0.712392            0.191798            0.00913323          
724                 0.000724            384.477             0.086754            0.712332            0.191782            0.00913246          
725                 0.000725            384.506             0.0868311           0.712272            0.191765            0.00913169          
726                 0.000726            384.534             0.0869081           0.712212            0.191749            0.00913092          
727                 0.000727            384.562             0.086985            0.712152            0.191733            0.00913015          
728                 0.000728            384.59              0.0870618           0.712092            0.191717            0.00912938          
729                 0.000729            384.618             0.0871384           0.712032            0.191701            0.00912862          
730                 0.00073             384.646             0.0872156           0.711972            0.191685            0.00912784          
731                 0.000731            384.674             0.087292            0.711912            0.191669            0.00912708          
732                 0.000732            384.702             0.0873683           0.711853            0.191653            0.00912632          
733                 0.000733            384.73              0.0874444           0.711793            0.191637            0.00912556          
734                 0.000734            384.757             0.0875204           0.711734            0.191621            0.0091248           
735                 0.000735            384.785             0.0875963           0.711675            0.191605            0.00912404          
736                 0.000736            384.813             0.087672            0.711616            0.191589            0.00912328          
737                 0.000737            384.84              0.0877477           0.711557            0.191573            0.00912252          
738                 0.000738            384.867             0.0878231           0.711498            0.191557            0.00912177          
739                 0.000739            384.895             0.0878985           0.711439            0.191541            0.00912101          
740                 0.00074             384.922             0.0879737           0.71138             0.191526            0.00912026          
741                 0.000741            384.95              0.0880488           0.711322            0.19151             0.00911951          
742                 0.000742            384.977             0.0881238           0.711263            0.191494            0.00911876          
743                 0.000743            385.004             0.0881987           0.711205            0.191478            0.00911801          
744                 0.000744            385.031             0.0882734           0.711147            0.191463            0.00911727          
745                 0.000745            385.058             0.088348            0.711089            0.191447            0.00911652          
746                 0.000746            385.085             0.0884224           0.71103             0.191431            0.00911578          
747                 0.000747            385.112             0.0884968           0.710973            0.191416            0.00911503          
748                 0.000748            385.139             0.088571            0.710915            0.1914              0.00911429          
749                 0.000749            385.166             0.0886451           0.710857            0.191385            0.00911355          
750                 0.00075             385.192             0.0887191           0.710799            0.191369            0.00911281          
751                 0.000751            385.219             0.0887929           0.710742            0.191353            0.00911207          
752                 0.000752            385.246             0.0888666           0.710684            0.191338            0.00911133          
753                 0.000753            385.272             0.0889402           0.710627            0.191323            0.0091106           
754                 0.000754            385.299             0.0890137           0.710569            0.191307            0.00910986          
755                 0.000755            385.325             0.089087            0.710512            0.191292            0.00910913          
756                 0.000756            385.351             0.0891602           0.710455            0.191276            0.0091084           
757                 0.000757            385.378             0.0892333           0.710398            0.191261            0.00910767          
758                 0.000758            385.404             0.0893063           0.710341            0.191246            0.00910694          
759                 0.000759            385.43              0.0893791           0.710284            0.19123             0.00910621          
760                 0.00076             385.456             0.0894518           0.710228            0.191215            0.00910548          
761                 0.000761            385.483             0.0895244           0.710171            0.1912              0.00910476          
762                 0.000762            385.509             0.0895969           0.710114            0.191185            0.00910403          
763                 0.000763            385.535             0.0896692           0.710058            0.191169            0.00910331          
764                 0.000764            385.56              0.0897415           0.710002            0.191154            0.00910259          
765                 0.000765            385.586             0.0898136           0.709945            0.191139            0.00910186          
766                 0.000766            385.612             0.0898856           0.709889            0.191124            0.00910114          
767                 0.000767            385.638             0.0899574           0.709833            0.191109            0.00910043          
768                 0.000768            385.664             0.0900292           0.709777            0.191094            0.00909971          
769                 0.000769            385.689             0.0901008           0.709721            0.191079            0.00909899          
770                 0.00077             385.715             0.0901723           0.709666            0.191064            0.00909828          
771                 0.000771            385.74              0.0902437           0.70961             0.191049            0.00909756          
772                 0.000772            385.766             0.0903149           0.709554            0.191034            0.00909685          
773                 0.000773            385.791             0.0903861           0.709499            0.191019            0.00909614          
774                 0.000774            385.817             0.0904571           0.709443            0.191004            0.00909543          
775                 0.000775            385.842             0.090528            0.709388            0.190989            0.00909472          
776                 0.000776            385.867             0.0905988           0.709333            0.190974            0.00909401          
777                 0.000777            385.892             0.0906694           0.709278            0.190959            0.00909331          
778                 0.000778            385.917             0.09074             0.709223            0.190945            0.0090926           
779                 0.000779            385.943             0.0908104           0.709168            0.19093             0.0090919           
780                 0.00078             385.968             0.0908807           0.709113            0.190915            0.00909119          
781                 0.000781            385.993             0.0909509           0.709058            0.1909              0.00909049          
782                 0.000782            386.018             0.0910209           0.709004            0.190886            0.00908979          
783                 0.000783            386.042             0.0910909           0.708949            0.190871            0.00908909          
784                 0.000784            386.067             0.0911607           0.708895            0.190856            0.00908839          
785                 0.000785            386.092             0.0912304           0.70884             0.190842            0.0090877           
786                 0.000786            386.117             0.0913              0.708786            0.190827            0.009087            
787                 0.000787            386.141             0.0913695           0.708732            0.190812            0.00908631          
788                 0.000788            386.166             0.0914388           0.708678            0.190798            0.00908561          
789                 0.000789            386.19              0.0915081           0.708624            0.190783            0.00908492          
790                 0.00079             386.215             0.0915772           0.70857             0.190769            0.00908423          
791                 0.000791            386.239             0.0916462           0.708516            0.190754            0.00908354          
792                 0.000792            386.264             0.0917151           0.708462            0.19074             0.00908285          
793                 0.000793            386.288             0.0917839           0.708409            0.190725            0.00908216          
794                 0.000794            386.312             0.0918526           0.708355            0.190711            0.00908147          
795                 0.000795            386.337             0.0919211           0.708302            0.190697            0.00908079          
796                 0.000796            386.361             0.0919895           0.708248            0.190682            0.0090801           
797                 0.000797            386.385             0.0920579           0.708195            0.190668            0.00907942          
798                 0.000798            386.409             0.0921261           0.708142            0.190654            0.00907874          
799                 0.000799            386.433             0.0921941           0.708089            0.190639            0.00907806          
800                 0.0008              386.457             0.0922621           0.708036            0.190625            0.00907738          
801                 0.000801            386.481             0.09233             0.707983            0.190611            0.0090767           
802                 0.000802            386.505             0.0923977           0.70793             0.190596            0.00907602          
803                 0.000803            386.529             0.0924654           0.707877            0.190582            0.00907535          
804                 0.000804            386.553             0.0925329           0.707824            0.190568            0.00907467          
805                 0.000805            386.576             0.0926003           0.707772            0.190554            0.009074            
806                 0.000806            386.6               0.0926676           0.707719            0.19054             0.00907332          
807                 0.000807            386.624             0.0927348           0.707667            0.190526            0.00907265          
808                 0.000808            386.647             0.0928018           0.707615            0.190512            0.00907198          
809                 0.000809            386.671             0.0928688           0.707562            0.190498            0.00907131          
810                 0.00081             386.694             0.0929356           0.70751             0.190484            0.00907064          
811                 0.000811            386.718             0.0930024           0.707458            0.19047             0.00906998          
812                 0.000812            386.741             0.093069            0.707406            0.190456            0.00906931          
813                 0.000813            386.764             0.0931355           0.707354            0.190442            0.00906864          
814                 0.000814            386.788             0.0932019           0.707303            0.190428            0.00906798          
815                 0.000815            386.811             0.0932682           0.707251            0.190414            0.00906732          
816                 0.000816            386.834             0.0933344           0.707199            0.1904              0.00906666          
817                 0.000817            386.857             0.0934004           0.707148            0.190386            0.009066            
818                 0.000818            386.88              0.0934664           0.707096            0.190372            0.00906534          
819                 0.000819            386.903             0.0935322           0.707045            0.190358            0.00906468          
820                 0.00082             386.926             0.093598            0.706994            0.190344            0.00906402          
821                 0.000821            386.949             0.0936636           0.706942            0.190331            0.00906336          
822                 0.000822            386.972             0.0937291           0.706891            0.190317            0.00906271          
823                 0.000823            386.995             0.0937945           0.70684             0.190303            0.00906205          
824                 0.000824            387.018             0.0938598           0.706789            0.190289            0.0090614           
825                 0.000825            387.04              0.093925            0.706738            0.190276            0.00906075          
826                 0.000826            387.063             0.0939901           0.706688            0.190262            0.0090601           
827                 0.000827            387.086             0.0940551           0.706637            0.190248            0.00905945          
828                 0.000828            387.108             0.0941199           0.706586            0.190235            0.0090588           
829                 0.000829            387.131             0.0941847           0.706536            0.190221            0.00905815          
830                 0.00083             387.153             0.0942493           0.706486            0.190208            0.00905751          
831                 0.000831            387.176             0.0943139           0.706435            0.190194            0.00905686          
832                 0.000832            387.198             0.0943783           0.706385            0.190181            0.00905622          
833                 0.000833            387.221             0.0944427           0.706335            0.190167            0.00905557          
834                 0.000834            387.243             0.0945069           0.706285            0.190154            0.00905493          
835                 0.000835            387.265             0.094571            0.706235            0.19014             0.00905429          
836                 0.000836            387.287             0.094635            0.706185            0.190127            0.00905365          
837                 0.000837            387.31              0.0946989           0.706135            0.190113            0.00905301          
838                 0.000838            387.332             0.0947627           0.706085            0.1901              0.00905237          
839                 0.000839            387.354             0.0948264           0.706035            0.190086            0.00905174          
840                 0.00084             387.376             0.09489             0.705986            0.190073            0.0090511           
841                 0.000841            387.398             0.0949535           0.705936            0.19006             0.00905047          
842                 0.000842            387.42              0.0950168           0.705887            0.190046            0.00904983          
843                 0.000843            387.442             0.0950801           0.705838            0.190033            0.0090492           
844                 0.000844            387.464             0.0951433           0.705788            0.19002             0.00904857          
845                 0.000845            387.485             0.0952063           0.705739            0.190007            0.00904794          
846                 0.000846            387.507             0.0952693           0.70569             0.189993            0.00904731          
847                 0.000847            387.529             0.0953321           0.705641            0.18998             0.00904668          
848                 0.000848            387.551             0.0953949           0.705592            0.189967            0.00904605          
849                 0.000849            387.572             0.0954575           0.705543            0.189954            0.00904542          
850                 0.00085             387.594             0.0955201           0.705494            0.189941            0.0090448           
851                 0.000851            387.615             0.0955825           0.705446            0.189928            0.00904418          
852                 0.000852            387.637             0.0956448           0.705397            0.189915            0.00904355          
853                 0.000853            387.658             0.0957071           0.705348            0.189902            0.00904293          
854                 0.000854            387.68              0.0957692           0.7053              0.189888            0.00904231          
855                 0.000855            387.701             0.0958312           0.705252            0.189875            0.00904169          
856                 0.000856            387.722             0.0958931           0.705203            0.189862            0.00904107          
857                 0.000857            387.744             0.095955            0.705155            0.189849            0.00904045          
858                 0.000858            387.765             0.0960167           0.705107            0.189836            0.00903983          
859                 0.000859            387.786             0.0960783           0.705059            0.189824            0.00903922          
860                 0.00086             387.807             0.0961398           0.705011            0.189811            0.0090386           
861                 0.000861            387.828             0.0962012           0.704963            0.189798            0.00903799          
862                 0.000862            387.849             0.0962626           0.704915            0.189785            0.00903737          
863                 0.000863            387.871             0.0963238           0.704867            0.189772            0.00903676          
864                 0.000864            387.892             0.0963849           0.70482             0.189759            0.00903615          
865                 0.000865            387.912             0.0964459           0.704772            0.189746            0.00903554          
866                 0.000866            387.933             0.0965068           0.704725            0.189734            0.00903493          
867                 0.000867            387.954             0.0965676           0.704677            0.189721            0.00903432          
868                 0.000868            387.975             0.0966283           0.70463             0.189708            0.00903372          
869                 0.000869            387.996             0.0966889           0.704583            0.189695            0.00903311          
870                 0.00087             388.017             0.0967495           0.704535            0.189683            0.00903251          
871                 0.000871            388.037             0.0968099           0.704488            0.18967             0.0090319           
872                 0.000872            388.058             0.0968702           0.704441            0.189657            0.0090313           
873                 0.000873            388.078             0.0969304           0.704394            0.189645            0.0090307           
874                 0.000874            388.099             0.0969905           0.704347            0.189632            0.00903009          
875                 0.000875            388.12              0.0970505           0.704301            0.189619            0.00902949          
876                 0.000876            388.14              0.0971105           0.704254            0.189607            0.0090289           
877                 0.000877            388.16              0.0971703           0.704207            0.189594            0.0090283           
878                 0.000878            388.181             0.09723             0.704161            0.189582            0.0090277           
879                 0.000879            388.201             0.0972896           0.704114            0.189569            0.0090271           
880                 0.00088             388.222             0.0973492           0.704068            0.189557            0.00902651          
881                 0.000881            388.242             0.0974086           0.704021            0.189544            0.00902591          
882                 0.000882            388.262             0.0974679           0.703975            0.189532            0.00902532          
883                 0.000883            388.282             0.0975272           0.703929            0.189519            0.00902473          
884                 0.000884            388.302             0.0975863           0.703883            0.189507            0.00902414          
885                 0.000885            388.323             0.0976454           0.703837            0.189494            0.00902355          
886                 0.000886            388.343             0.0977043           0.703791            0.189482            0.00902296          
887                 0.000887            388.363             0.0977632           0.703745            0.18947             0.00902237          
888                 0.000888            388.383             0.0978219           0.703699            0.189457            0.00902178          
889                 0.000889            388.403             0.0978806           0.703653            0.189445            0.00902119          
890                 0.00089             388.422             0.0979392           0.703607            0.189433            0.00902061          
891                 0.000891            388.442             0.0979976           0.703562            0.18942             0.00902002          
892                 0.000892            388.462             0.098056            0.703516            0.189408            0.00901944          
893                 0.000893            388.482             0.0981143           0.703471            0.189396            0.00901886          
894                 0.000894            388.502             0.0981725           0.703425            0.189384            0.00901828          
895                 0.000895            388.521             0.0982306           0.70338             0.189372            0.00901769          
896                 0.000896            388.541             0.0982886           0.703335            0.189359            0.00901711          
897                 0.000897            388.561             0.0983465           0.70329             0.189347            0.00901654          
898                 0.000898            388.58              0.0984043           0.703245            0.189335            0.00901596          
899                 0.000899            388.6               0.098462            0.7032              0.189323            0.00901538          
900                 0.0009              388.619             0.0985196           0.703155            0.189311            0.0090148           
901                 0.000901            388.639             0.0985772           0.70311             0.189299            0.00901423          
902                 0.000902            388.658             0.0986346           0.703065            0.189287            0.00901365          
903                 0.000903            388.678             0.0986919           0.70302             0.189275            0.00901308          
904                 0.000904            388.697             0.0987492           0.702976            0.189263            0.00901251          
905                 0.000905            388.716             0.0988063           0.702931            0.189251            0.00901194          
906                 0.000906            388.736             0.0988634           0.702887            0.189239            0.00901137          
907                 0.000907            388.755             0.0989204           0.702842            0.189227            0.0090108           
908                 0.000908            388.774             0.0989773           0.702798            0.189215            0.00901023          
909                 0.000909            388.793             0.099034            0.702753            0.189203            0.00900966          
910                 0.00091             388.813             0.0990907           0.702709            0.189191            0.00900909          
911                 0.000911            388.832             0.0991473           0.702665            0.189179            0.00900853          
912                 0.000912            388.851             0.0992039           0.702621            0.189167            0.00900796          
913                 0.000913            388.87              0.0992603           0.702577            0.189155            0.0090074           
914                 0.000914            388.889             0.0993166           0.702533            0.189144            0.00900683          
915                 0.000915            388.908             0.0993729           0.702489            0.189132            0.00900627          
916                 0.000916            388.927             0.099429            0.702445            0.18912             0.00900571          
917                 0.000917            388.945             0.0994851           0.702402            0.189108            0.00900515          
918                 0.000918            388.964             0.099541            0.702358            0.189096            0.00900459          
919                 0.000919            388.983             0.0995969           0.702314            0.189085            0.00900403          
920                 0.00092             389.002             0.0996527           0.702271            0.189073            0.00900347          
921                 0.000921            389.021             0.0997084           0.702227            0.189061            0.00900292          
922                 0.000922            389.039             0.099764            0.702184            0.18905             0.00900236          
923                 0.000923            389.058             0.0998196           0.702141            0.189038            0.0090018           
924                 0.000924            389.077             0.099875            0.702098            0.189026            0.00900125          
925                 0.000925            389.095             0.0999303           0.702054            0.189015            0.0090007           
926                 0.000926            389.114             0.0999856           0.702011            0.189003            0.00900014          
927                 0.000927            389.132             0.100041            0.701968            0.188991            0.00899959          
928                 0.000928            389.151             0.100096            0.701925            0.18898             0.00899904          
929                 0.000929            389.169             0.100151            0.701882            0.188968            0.00899849          
930                 0.00093             389.188             0.100206            0.70184             0.188957            0.00899794          
931                 0.000931            389.206             0.100261            0.701797            0.188945            0.00899739          
932                 0.000932            389.224             0.100315            0.701754            0.188934            0.00899685          
933                 0.000933            389.243             0.10037             0.701711            0.188922            0.0089963           
934                 0.000934            389.261             0.100424            0.701669            0.188911            0.00899576          
935                 0.000935            389.279             0.100479            0.701626            0.188899            0.00899521          
936                 0.000936            389.297             0.100533            0.701584            0.188888            0.00899467          
937                 0.000937            389.315             0.100588            0.701542            0.188877            0.00899412          
938                 0.000938            389.334             0.100642            0.701499            0.188865            0.00899358          
939                 0.000939            389.352             0.100696            0.701457            0.188854            0.00899304          
940                 0.00094             389.37              0.10075             0.701415            0.188843            0.0089925           
941                 0.000941            389.388             0.100804            0.701373            0.188831            0.00899196          
942                 0.000942            389.406             0.100858            0.701331            0.18882             0.00899142          
943                 0.000943            389.424             0.100912            0.701289            0.188809            0.00899088          
944                 0.000944            389.442             0.100965            0.701247            0.188797            0.00899035          
945                 0.000945            389.46              0.101019            0.701205            0.188786            0.00898981          
946                 0.000946            389.477             0.101072            0.701164            0.188775            0.00898928          
947                 0.000947            389.495             0.101126            0.701122            0.188764            0.00898874          
948                 0.000948            389.513             0.101179            0.70108             0.188752            0.00898821          
949                 0.000949            389.531             0.101232            0.701039            0.188741            0.00898768          
950                 0.00095             389.548             0.101286            0.700997            0.18873             0.00898714          
951                 0.000951            389.566             0.101339            0.700956            0.188719            0.00898661          
952                 0.000952            389.584             0.101392            0.700914            0.188708            0.00898608          
953                 0.000953            389.601             0.101445            0.700873            0.188697            0.00898555          
954                 0.000954            389.619             0.101497            0.700832            0.188686            0.00898503          
955                 0.000955            389.637             0.10155             0.700791            0.188674            0.0089845           
956                 0.000956            389.654             0.101603            0.70075             0.188663            0.00898397          
957                 0.000957            389.672             0.101656            0.700709            0.188652            0.00898344          
958                 0.000958            389.689             0.101708            0.700668            0.188641            0.00898292          
959                 0.000959            389.706             0.10176             0.700627            0.18863             0.0089824           
960                 0.00096             389.724             0.101813            0.700586            0.188619            0.00898187          
961                 0.000961            389.741             0.101865            0.700545            0.188608            0.00898135          
962                 0.000962            389.758             0.101917            0.700505            0.188597            0.00898083          
963                 0.000963            389.776             0.101969            0.700464            0.188586            0.00898031          
964                 0.000964            389.793             0.102021            0.700423            0.188576            0.00897979          
965                 0.000965            389.81              0.102073            0.700383            0.188565            0.00897927          
966                 0.000966            389.827             0.102125            0.700342            0.188554            0.00897875          
967                 0.000967            389.845             0.102177            0.700302            0.188543            0.00897823          
968                 0.000968            389.862             0.102229            0.700262            0.188532            0.00897771          
969                 0.000969            389.879             0.10228             0.700221            0.188521            0.0089772           
970                 0.00097             389.896             0.102332            0.700181            0.18851             0.00897668          
971                 0.000971            389.913             0.102383            0.700141            0.1885              0.00897617          
972                 0.000972            389.93              0.102435            0.700101            0.188489            0.00897565          
973                 0.000973            389.947             0.102486            0.700061            0.188478            0.00897514          
974                 0.000974            389.964             0.102537            0.700021            0.188467            0.00897463          
975                 0.000975            389.981             0.102588            0.699981            0.188456            0.00897412          
976                 0.000976            389.997             0.102639            0.699941            0.188446            0.00897361          
977                 0.000977            390.014             0.10269             0.699902            0.188435            0.0089731           
978                 0.000978            390.031             0.102741            0.699862            0.188424            0.00897259          
979                 0.000979            390.048             0.102792            0.699822            0.188414            0.00897208          
980                 0.00098             390.065             0.102843            0.699783            0.188403            0.00897157          
981                 0.000981            390.081             0.102893            0.699743            0.188392            0.00897107          
982                 0.000982            390.098             0.102944            0.699704            0.188382            0.00897056          
983                 0.000983            390.115             0.102994            0.699664            0.188371            0.00897006          
984                 0.000984            390.131             0.103045            0.699625            0.188361            0.00896955          
985                 0.000985            390.148             0.103095            0.699586            0.18835             0.00896905          
986                 0.000986            390.164             0.103145            0.699547            0.188339            0.00896855          
987                 0.000987            390.181             0.103195            0.699508            0.188329            0.00896805          
988                 0.000988            390.197             0.103246            0.699468            0.188318            0.00896754          
989                 0.000989            390.214             0.103296            0.699429            0.188308            0.00896704          
990                 0.00099             390.23              0.103345            0.699391            0.188297            0.00896655          
991                 0.000991            390.247             0.103395            0.699352            0.188287            0.00896605          
992                 0.000992            390.263             0.103445            0.699313            0.188277            0.00896555          
993                 0.000993            390.279             0.103495            0.699274            0.188266            0.00896505          
994                 0.000994            390.296             0.103544            0.699235            0.188256            0.00896456          
