300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
400.43 400.424 400.409 400.389 400.364 400.33 400.287 400.232 400.159 400.065 399.942 399.783 399.577 399.309 398.962 398.513 397.933 397.183 396.216 394.974 393.384 391.355 388.783 385.546 381.513 376.551 370.547 363.435 355.245 346.151 336.522 326.936 318.13 310.84 305.565 302.352 300.779 300.191 300.033 300.004 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
450.645 450.639 450.624 450.604 450.579 450.545 450.502 450.446 450.374 450.279 450.157 449.997 449.79 449.521 449.172 448.719 448.132 447.371 446.387 445.115 443.473 441.36 438.649 435.185 430.783 425.229 418.294 409.748 399.408 387.208 373.299 358.17 342.741 328.328 316.367 307.895 303.017 300.86 300.172 300.023 300.002 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
488.306 488.3 488.285 488.265 488.24 488.207 488.164 488.108 488.035 487.94 487.818 487.658 487.451 487.182 486.832 486.378 485.789 485.026 484.037 482.756 481.101 478.966 476.216 472.687 468.176 462.44 455.2 446.151 434.994 421.489 405.563 387.448 367.873 348.188 330.296 316.158 306.927 302.241 300.512 300.078 300.007 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
519.691 519.684 519.669 519.65 519.624 519.591 519.548 519.492 519.419 519.325 519.202 519.042 518.835 518.566 518.216 517.761 517.172 516.407 515.415 514.131 512.469 510.322 507.553 503.992 499.425 493.597 486.201 476.892 465.301 451.085 434.011 414.099 391.829 368.373 345.702 326.322 312.379 304.452 301.141 300.195 300.021 300.001 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
547.152 547.146 547.13 547.111 547.085 547.052 547.009 546.953 546.881 546.786 546.663 546.504 546.296 546.027 545.677 545.222 544.632 543.866 542.873 541.586 539.92 537.766 534.985 531.403 526.802 520.915 513.422 503.948 492.082 477.409 459.586 438.468 414.323 388.092 361.635 337.676 319.097 307.513 302.128 300.404 300.048 300.004 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
571.867 571.861 571.846 571.826 571.801 571.767 571.724 571.668 571.596 571.501 571.378 571.219 571.011 570.742 570.391 569.937 569.346 568.58 567.586 566.297 564.628 562.469 559.68 556.083 551.458 545.531 537.968 528.379 516.319 501.322 482.963 460.973 435.44 407.089 377.597 349.712 326.787 311.369 303.517 300.734 300.097 300.008 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
594.523 594.516 594.501 594.482 594.456 594.423 594.38 594.324 594.251 594.157 594.034 593.874 593.667 593.397 593.047 592.592 592.001 591.234 590.24 588.95 587.278 585.115 582.32 578.713 574.069 568.111 560.497 550.821 538.615 523.373 504.608 481.95 455.342 425.316 393.345 362.099 335.191 315.933 305.327 301.212 300.175 300.015 300.001 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
615.56 615.554 615.539 615.519 615.493 615.46 615.417 615.361 615.289 615.194 615.071 614.911 614.704 614.434 614.084 613.629 613.038 612.271 611.275 609.984 608.311 606.146 603.345 599.729 595.072 589.09 581.435 571.69 559.369 543.935 524.847 501.658 474.187 442.797 408.765 374.624 344.105 321.105 307.557 301.858 300.291 300.027 300.002 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
635.283 635.276 635.261 635.241 635.216 635.183 635.14 635.084 635.011 634.917 634.794 634.634 634.426 634.157 633.806 633.351 632.76 631.993 630.997 629.705 628.031 625.862 623.057 619.435 614.766 608.764 601.077 591.276 578.861 563.269 543.919 520.295 492.113 459.587 423.81 387.154 353.371 326.787 310.191 302.691 300.455 300.046 300.003 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
653.909 653.903 653.888 653.868 653.843 653.81 653.767 653.711 653.638 653.543 653.42 653.261 653.053 652.783 652.433 651.978 651.386 650.619 649.622 648.33 646.654 644.484 641.676 638.048 633.369 627.351 619.636 609.789 597.296 581.573 562.002 538.013 509.231 475.741 438.465 399.605 362.871 332.889 313.205 303.719 300.675 300.074 300.005 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
671.605 671.598 671.583 671.564 671.538 671.505 671.462 671.406 671.333 671.239 671.116 670.956 670.749 670.479 670.128 669.673 669.082 668.314 667.317 666.024 664.347 662.175 659.364 655.731 651.045 645.013 637.274 627.387 614.828 598.993 579.235 554.934 525.638 491.317 452.736 411.928 372.518 339.334 316.569 304.95 300.959 300.113 300.008 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
688.496 688.489 688.474 688.455 688.429 688.396 688.353 688.297 688.224 688.13 688.007 687.847 687.64 687.37 687.019 686.564 685.972 685.204 684.207 682.914 681.236 679.063 676.249 672.612 667.918 661.875 654.116 644.195 631.578 615.646 595.726 571.154 541.412 506.365 466.635 424.091 382.248 346.055 320.252 306.385 301.316 300.165 300.012 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
