t [s]               T [K]               y_o                 y_co                y_co2               y_c                 y_c2                y_c3                y_o2                y_n2                y_n                 y_no                
0                   800                 0.0217              0                   0                   0                   0                   0                   0.08                0.375               0.0013              0.022               
0.005               814.871             0.0434462           3.00879e-05         7.53122e-06         4.05926e-37         5.70777e-42         3.75451e-39         0.159986            0.749934            0.00259977          0.0439961           
0.01                826.849             0.0434464           3.0791e-05          6.73643e-06         1.85451e-36         3.26945e-41         1.95549e-38         0.159986            0.749934            0.00259977          0.0439961           
0.015               836.965             0.0434463           3.16548e-05         6.14412e-06         6.46701e-36         1.37316e-40         7.59492e-38         0.159986            0.749934            0.00259977          0.0439961           
0.02                845.81              0.0434461           3.25943e-05         5.67811e-06         1.88095e-35         4.68207e-40         2.4221e-37          0.159986            0.749934            0.00259977          0.0439961           
0.025               853.741             0.0434458           3.35724e-05         5.29698e-06         4.80804e-35         1.37633e-39         6.71336e-37         0.159986            0.749934            0.00259977          0.0439961           
0.03                860.986             0.0434454           3.45714e-05         4.97632e-06         1.11605e-34         3.62158e-39         1.67572e-36         0.159986            0.749933            0.00259977          0.0439961           
0.035               867.694             0.043445            3.55819e-05         4.70073e-06         2.4037e-34          8.74408e-39         3.856e-36           0.159986            0.749933            0.00259977          0.0439961           
0.04                873.971             0.0434446           3.65988e-05         4.45997e-06         4.87536e-34         1.97051e-38         8.31292e-36         0.159986            0.749933            0.00259977          0.0439961           
0.045               879.892             0.0434442           3.76191e-05         4.24691e-06         9.41216e-34         4.19575e-38         1.69855e-35         0.159986            0.749933            0.00259977          0.043996            
0.05                885.513             0.0434437           3.86409e-05         4.05636e-06         1.74326e-33         8.51819e-38         3.31769e-35         0.159986            0.749932            0.00259977          0.043996            
0.055               890.877             0.0434432           3.9663e-05          3.88449e-06         3.11634e-33         1.66037e-37         6.23561e-35         0.159985            0.749932            0.00259976          0.043996            
0.06                896.018             0.0434427           4.06845e-05         3.72832e-06         5.40245e-33         3.12422e-37         1.13353e-34         0.159985            0.749932            0.00259976          0.043996            
0.065               900.963             0.0434422           4.17052e-05         3.58555e-06         9.11676e-33         5.69955e-37         2.00117e-34         0.159985            0.749931            0.00259976          0.043996            
0.07                905.734             0.0434417           4.27246e-05         3.45433e-06         1.5022e-32          1.01166e-36         3.44253e-34         0.159985            0.749931            0.00259976          0.043996            
0.075               910.349             0.0434412           4.37425e-05         3.33316e-06         2.423e-32           1.75221e-36         5.78642e-34         0.159985            0.749931            0.00259976          0.0439959           
0.08                914.823             0.0434407           4.47589e-05         3.22081e-06         3.83388e-32         2.96864e-36         9.52542e-34         0.159985            0.74993             0.00259976          0.0439959           
0.085               919.169             0.0434402           4.57737e-05         3.11627e-06         5.96165e-32         4.92998e-36         1.53868e-33         0.159985            0.74993             0.00259976          0.0439959           
0.09                923.398             0.0434397           4.67869e-05         3.01867e-06         9.12438e-32         8.03929e-36         2.44302e-33         0.159985            0.74993             0.00259976          0.0439959           
0.095               927.52              0.0434391           4.77985e-05         2.92728e-06         1.37634e-31         1.28924e-35         3.81809e-33         0.159985            0.74993             0.00259976          0.0439959           
0.1                 931.543             0.0434386           4.88085e-05         2.84148e-06         2.0485e-31          2.03599e-35         5.88101e-33         0.159985            0.749929            0.00259975          0.0439958           
0.105               935.474             0.0434381           4.9817e-05          2.76073e-06         3.01143e-31         3.16987e-35         8.9376e-33          0.159985            0.749929            0.00259975          0.0439958           
0.11                939.32              0.0434375           5.08241e-05         2.68457e-06         4.37648e-31         4.87057e-35         1.34145e-32         0.159985            0.749929            0.00259975          0.0439958           
0.115               943.087             0.043437            5.18298e-05         2.61259e-06         6.29266e-31         7.3924e-35          1.99015e-32         0.159985            0.749928            0.00259975          0.0439958           
0.12                946.779             0.0434364           5.28342e-05         2.54442e-06         8.95796e-31         1.1092e-34          2.9207e-32          0.159985            0.749928            0.00259975          0.0439958           
0.125               950.401             0.0434359           5.38373e-05         2.47976e-06         1.26335e-30         1.64654e-34         4.24307e-32         0.159985            0.749928            0.00259975          0.0439958           
0.13                953.958             0.0434354           5.48392e-05         2.41833e-06         1.76615e-30         2.41966e-34         6.10565e-32         0.159985            0.749927            0.00259975          0.0439957           
0.135               957.453             0.0434348           5.58401e-05         2.35987e-06         2.44874e-30         3.52221e-34         8.70734e-32         0.159984            0.749927            0.00259975          0.0439957           
0.14                960.889             0.0434343           5.68398e-05         2.30416e-06         3.36877e-30         5.08143e-34         1.2313e-31          0.159984            0.749927            0.00259975          0.0439957           
0.145               964.27              0.0434337           5.78386e-05         2.25101e-06         4.60047e-30         7.2691e-34          1.72729e-31         0.159984            0.749926            0.00259975          0.0439957           
0.15                967.599             0.0434332           5.88365e-05         2.20023e-06         6.23881e-30         1.03156e-33         2.40477e-31         0.159984            0.749926            0.00259974          0.0439957           
0.155               970.877             0.0434326           5.98336e-05         2.15165e-06         8.40478e-30         1.45279e-33         3.32399e-31         0.159984            0.749926            0.00259974          0.0439956           
0.16                974.108             0.0434321           6.08298e-05         2.10514e-06         1.12517e-29         2.0313e-33          4.56328e-31         0.159984            0.749926            0.00259974          0.0439956           
0.165               977.294             0.0434315           6.18253e-05         2.06056e-06         1.4973e-29          2.82069e-33         6.224e-31           0.159984            0.749925            0.00259974          0.0439956           
0.17                980.436             0.0434309           6.28201e-05         2.01779e-06         1.98116e-29         3.89125e-33         8.43661e-31         0.159984            0.749925            0.00259974          0.0439956           
0.175               983.536             0.0434304           6.38143e-05         1.9767e-06          2.60713e-29         5.3346e-33          1.13683e-30         0.159984            0.749925            0.00259974          0.0439956           
0.18                986.598             0.0434298           6.4808e-05          1.93721e-06         3.41305e-29         7.26967e-33         1.52322e-30         0.159984            0.749924            0.00259974          0.0439956           
0.185               989.621             0.0434293           6.58011e-05         1.89922e-06         4.44588e-29         9.85008e-33         2.02992e-30         0.159984            0.749924            0.00259974          0.0439955           
0.19                992.607             0.0434287           6.67937e-05         1.86264e-06         5.76365e-29         1.32734e-32         2.69117e-30         0.159984            0.749924            0.00259974          0.0439955           
0.195               995.558             0.0434282           6.77859e-05         1.82739e-06         7.43784e-29         1.77924e-32         3.55011e-30         0.159984            0.749923            0.00259973          0.0439955           
0.2                 998.476             0.0434276           6.87777e-05         1.7934e-06          9.55618e-29         2.37297e-32         4.66085e-30         0.159984            0.749923            0.00259973          0.0439955           
